City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
136,Were Ilu,ET,10.6,39.4333,56.88,41,4,6.26,clear sky
137,Sioux Lookout,CA,50.1001,-91.917,74.75,72,100,9.66,overcast clouds
138,Charters Towers,AU,-20.1,146.2667,58.78,53,95,10.16,overcast clouds
139,Camana,PE,-16.6228,-72.7111,65.59,73,86,8.68,overcast clouds
140,Beringovskiy,RU,63.05,179.3167,38.44,78,88,4.18,overcast clouds
141,Esperance,AU,-33.8667,121.9,56.91,75,100,11.59,overcast clouds
142,Pochutla,MX,15.7432,-96.4661,73.81,83,100,24.07,overcast clouds
143,San Andres,CO,12.5847,-81.7006,87.82,70,75,11.5,broken clouds
144,Ankazoabo,MG,-22.2833,44.5167,62.19,93,1,6.71,clear sky
145,Fallon,US,39.4735,-118.7774,62.92,24,20,5.75,few clouds
146,Yellowknife,CA,62.456,-114.3525,55.56,30,0,4.0,clear sky
147,Mount Gambier,AU,-37.8333,140.7667,42.71,87,75,23.02,light intensity shower rain
148,Lewistown,US,40.5992,-77.5714,93.34,43,20,8.05,few clouds
149,Thompson,CA,55.7435,-97.8558,46.56,93,100,9.22,mist
150,Half Moon Bay,US,37.4636,-122.4286,79.88,47,0,18.41,clear sky
151,Tucupita,VE,9.0622,-62.051,92.95,38,98,7.36,overcast clouds
152,Klaeng,TH,12.7797,101.6483,83.95,89,79,4.68,broken clouds
153,Nome,US,64.5011,-165.4064,61.16,39,0,9.22,clear sky
154,Geraldton,AU,-28.7667,114.6,55.81,67,100,11.5,overcast clouds
155,Sisimiut,GL,66.9395,-53.6735,40.71,59,4,13.24,clear sky
156,Gao,ML,16.6362,1.637,94.68,21,82,11.43,broken clouds
157,Usogorsk,RU,63.4106,48.6872,54.54,87,91,3.38,overcast clouds
158,Savinka,RU,50.0785,47.0994,60.42,73,6,13.06,clear sky
159,Khomutovo,RU,52.4658,104.4025,45.21,90,25,3.96,scattered clouds
160,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,58.03,96,100,6.64,overcast clouds
161,Sirjan,IR,29.452,55.6814,69.8,9,0,11.92,clear sky
162,Carnarvon,AU,-24.8667,113.6333,61.9,62,99,18.32,light rain
163,Urucui,BR,-7.2294,-44.5561,88.65,43,90,9.4,overcast clouds
164,Luanda,AO,-8.8368,13.2343,73.4,83,40,5.75,scattered clouds
165,Avarua,CK,-21.2078,-159.775,77.05,83,75,11.5,light rain
166,Ishigaki,JP,24.3448,124.1572,81.88,88,100,15.3,overcast clouds
167,Santa Maria,BR,-29.6842,-53.8069,50.02,68,0,7.81,clear sky
168,Hovd,MN,48.0056,91.6419,61.27,27,100,2.3,overcast clouds
169,Nador,MA,35.174,-2.9287,71.85,53,0,9.22,clear sky
170,Vestmannaeyjar,IS,63.4427,-20.2734,50.27,88,100,2.51,overcast clouds
171,Luderitz,NA,-26.6481,15.1594,58.12,59,2,15.08,clear sky
172,Hamilton,US,39.1834,-84.5333,89.74,50,1,3.0,clear sky
173,Ozinki,RU,51.1786,49.6769,56.07,85,15,9.91,few clouds
174,Buluang,PH,13.3068,123.3425,75.27,89,100,0.56,overcast clouds
175,Port Moresby,PG,-9.4431,147.1797,73.96,87,31,5.3,scattered clouds
176,Broome,US,42.2506,-75.833,89.71,47,0,10.36,clear sky
177,Victoria,HK,22.2855,114.1577,83.32,86,100,8.01,overcast clouds
178,Vanavara,RU,60.34,102.2797,48.79,68,99,5.32,overcast clouds
179,Mahebourg,MU,-20.4081,57.7,71.26,94,75,5.75,broken clouds
180,Blackwater,AU,-23.5833,148.8833,52.93,43,81,11.03,broken clouds
181,Turbat,PK,26.0023,63.044,86.18,58,0,2.62,clear sky
182,Ribeira Grande,PT,38.5167,-28.7,59.4,77,40,27.63,scattered clouds
183,Bongandanga,CD,1.5,21.05,75.27,80,87,1.05,overcast clouds
184,Atbasar,KZ,51.8,68.3333,66.87,59,92,2.06,overcast clouds
185,Locri,IT,38.2414,16.2623,79.32,54,6,3.11,clear sky
186,Matagami,CA,49.7502,-77.6328,47.59,96,100,12.64,light rain
187,Iqaluit,CA,63.7506,-68.5145,38.7,93,0,18.01,clear sky
188,Nyurba,RU,63.2842,118.3319,44.06,84,100,3.65,overcast clouds
189,Honningsvag,NO,70.9821,25.9704,47.95,66,1,2.3,clear sky
190,Kieta,PG,-6.2167,155.6333,77.92,83,76,3.58,light rain
191,Saldanha,ZA,-33.0117,17.9442,57.2,72,2,4.61,clear sky
192,Dustlik,UZ,40.5247,68.0358,66.29,43,0,1.97,clear sky
193,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.43,81,2,11.72,clear sky
194,Kodiak,US,57.79,-152.4072,45.91,81,100,6.91,overcast clouds
195,Tiksi,RU,71.6872,128.8694,28.27,93,100,12.46,overcast clouds
196,Hambantota,LK,6.1241,81.1185,78.6,84,100,19.57,light rain
197,Souillac,MU,-20.5167,57.5167,72.54,70,33,15.99,light rain
198,Doraha,IN,30.8167,76.0167,90.03,23,1,7.02,clear sky
199,Sulangan,PH,11.1373,123.7228,80.46,77,100,7.2,light rain
200,Corn Island,NI,12.1694,-83.0418,78.8,82,100,8.81,overcast clouds
201,Kutulik,RU,53.3508,102.7839,50.52,73,59,7.81,broken clouds
202,Cape Canaveral,US,28.4058,-80.6048,89.67,67,0,11.5,clear sky
203,Kemin,KG,42.7846,75.6892,53.13,92,100,1.34,overcast clouds
204,Georgetown,MY,5.4112,100.3354,76.95,94,20,0.0,few clouds
205,Launceston,AU,-41.45,147.1667,42.15,94,40,5.75,light rain
206,Port Lincoln,AU,-34.7333,135.8667,55.11,60,99,29.06,overcast clouds
207,Plettenberg Bay,ZA,-34.0527,23.3716,57.33,60,85,17.07,overcast clouds
208,Constitucion,CL,-35.3333,-72.4167,51.69,52,0,9.91,clear sky
209,Laguna,US,38.421,-121.4238,80.89,26,0,16.11,clear sky
210,Port Arthur,CN,38.8,121.2667,62.82,75,56,7.76,broken clouds
211,Okha,RU,53.5739,142.9478,35.42,96,100,14.09,overcast clouds
