City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
252,Calvia,ES,2022-05-30 15:01:44,39.5657,2.5062,83.08,69,30,9.62
253,Sompeta,IN,2022-05-30 15:01:44,18.9333,84.6,90.41,55,85,10.96
254,Lorengau,PG,2022-05-30 15:01:45,-2.0226,147.2712,79.34,82,93,6.29
255,Mercedes,AR,2022-05-30 15:01:45,-34.6515,-59.4307,49.78,37,0,15.97
256,Concordia,AR,2022-05-30 15:00:01,-31.393,-58.0209,49.78,54,70,11.01
257,Hauterive,FR,2022-05-30 15:01:45,46.0901,3.4459,72.36,27,37,4.68
258,Borgarnes,IS,2022-05-30 15:01:46,64.5383,-21.9206,59.36,49,16,8.72
259,Savelugu,GH,2022-05-30 15:01:46,9.6244,-0.8253,96.76,38,8,7.43
260,Ponta Do Sol,PT,2022-05-30 15:01:46,32.6667,-17.1,73.71,75,12,13.33
261,Port Alfred,ZA,2022-05-30 15:01:47,-33.5906,26.891,63.18,56,35,0.54
262,Vrangel,RU,2022-05-30 15:01:47,42.7297,133.0839,51.13,82,100,20.54
263,Amberley,US,2022-05-30 15:01:47,39.2048,-84.428,82.94,62,0,10.36
264,Pangnirtung,CA,2022-05-30 15:01:48,66.1451,-65.7125,35.37,88,5,1.59
265,Meulaboh,ID,2022-05-30 15:01:48,4.1363,96.1285,78.89,84,86,5.88
266,Bindi,SL,2022-05-30 15:01:48,9.9167,-11.45,92.34,44,90,2.33
267,Flinders,AU,2022-05-30 15:01:49,-34.5833,150.8552,54.25,70,75,5.99
268,Dhidhdhoo,MV,2022-05-30 15:01:49,6.8833,73.1,78.3,85,100,19.33
269,Tekirdag,TR,2022-05-30 15:01:49,40.978,27.5085,83.55,61,46,8.08
270,Utica,US,2022-05-30 14:58:05,43.1009,-75.2327,78.69,65,67,7.07
271,Bluefield,US,2022-05-30 14:56:57,37.2698,-81.2223,78.51,66,68,4.0
272,Qasigiannguit,GL,2022-05-30 15:01:50,68.8193,-51.1922,39.45,83,84,2.19
273,Chimore,BO,2022-05-30 15:01:50,-16.9833,-65.1333,64.36,97,100,3.11
274,Puerto Escondido,MX,2022-05-30 15:01:51,15.85,-97.0667,74.53,87,100,14.88
275,Aklavik,CA,2022-05-30 15:01:51,68.2191,-135.0107,32.0,93,100,5.75
276,Ancud,CL,2022-05-30 15:02:51,-41.8697,-73.8203,43.95,78,7,3.18
277,Kruisfontein,ZA,2022-05-30 15:02:52,-34.0033,24.7314,60.89,51,88,4.54
278,Qaqortoq,GL,2022-05-30 15:02:52,60.7167,-46.0333,40.35,80,100,3.42
279,Barabai,ID,2022-05-30 15:02:52,-2.5833,115.3833,78.26,82,92,1.88
280,Hofn,IS,2022-05-30 15:02:53,64.2539,-15.2082,45.03,82,14,9.69
281,Juneau,US,2022-05-30 15:00:35,58.3019,-134.4197,56.1,100,12,3.24
282,Coihaique,CL,2022-05-30 15:02:54,-45.5752,-72.0662,36.12,78,12,0.87
283,Taltal,CL,2022-05-30 15:01:09,-25.4,-70.4833,63.73,64,1,6.51
284,Lesosibirsk,RU,2022-05-30 15:02:54,58.2358,92.4828,53.58,85,98,10.87
285,Kieta,PG,2022-05-30 15:02:54,-6.2167,155.6333,78.26,85,28,3.56
286,Torbay,CA,2022-05-30 15:02:55,47.6666,-52.7314,65.88,65,100,5.01
287,Rantauprapat,ID,2022-05-30 15:02:55,2.1,99.8333,75.34,95,38,2.98
288,Bilma,NE,2022-05-30 15:02:55,18.6853,12.9164,106.68,5,0,5.79
289,Marawi,PH,2022-05-30 15:02:56,7.9986,124.2928,64.92,88,98,2.44
290,Ocean City,US,2022-05-30 15:02:56,39.2776,-74.5746,85.01,72,95,5.01
291,Grand Gaube,MU,2022-05-30 15:02:56,-20.0064,57.6608,71.38,73,3,4.0
292,Sur,OM,2022-05-30 15:02:57,22.5667,59.5289,93.25,42,0,15.52
293,Koutsouras,GR,2022-05-30 15:02:57,35.0339,25.9469,76.1,71,7,6.11
294,Waipawa,NZ,2022-05-30 15:02:57,-41.4122,175.5153,54.43,89,100,6.91
